"title","rating","poster","totalRating"
"The Shawshank Redemption","9.3",,"2.9M"
"The Silence of the Lambs","8.6","https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg","1.6M"
